file,collection,slug,route,primary_entity,primary_intent,page_role,target_user,decision_stage,unique_value,overlap_risk,recommended_action,info_gain,rendered
src\content\derived\comparisons\vacuum-vs-atmosphere-heat-treat.md,comparisons,vacuum-vs-atmosphere-heat-treat,/compare/vacuum-vs-atmosphere-heat-treat/,vacuum-vs-atmosphere-heat-treat,Comparison,Comparison,Engineer,Decision,reference,HIGH (same-entity overlap),KEEP (rendered),30,YES
src\content\derived\comparisons\wire-edm-vs-laser-cutting.md,comparisons,wire-edm-vs-laser-cutting,/compare/wire-edm-vs-laser-cutting/,wire-edm-vs-laser-cutting,Comparison,Comparison,Engineer,Decision,reference,HIGH (same-entity overlap),KEEP (rendered),30,YES
src\content\derived\procurement\as9100d-documentation.md,procurement,as9100d-documentation,/procurement/as9100d-documentation/,as9100d-documentation,Procurement,Procurement,Procurement,Procurement,direct answer,LOW,WIRE (thin - deepen then render),30,NO
src\content\derived\procurement\cad-file-requirements.md,procurement,cad-file-requirements,/procurement/cad-file-requirements/,cad-file-requirements,Procurement,Procurement,Procurement,Procurement,direct answer,LOW,WIRE (thin - deepen then render),30,NO
src\content\derived\procurement\cmm-inspection.md,procurement,cmm-inspection,/procurement/cmm-inspection/,cmm-inspection,Procurement,Procurement,Procurement,Procurement,direct answer,LOW,WIRE (thin - deepen then render),30,NO
src\content\derived\procurement\coa-vs-coc.md,procurement,coa-vs-coc,/procurement/coa-vs-coc/,coa-vs-coc,Procurement,Procurement,Procurement,Procurement,direct answer,LOW,WIRE (thin - deepen then render),30,NO
src\content\derived\procurement\drawing-best-practices.md,procurement,drawing-best-practices,/procurement/drawing-best-practices/,drawing-best-practices,Procurement,Procurement,Procurement,Procurement,direct answer,LOW,WIRE (thin - deepen then render),30,NO
src\content\derived\procurement\export-packaging.md,procurement,export-packaging,/procurement/export-packaging/,export-packaging,Procurement,Procurement,Procurement,Procurement,direct answer,LOW,WIRE (thin - deepen then render),30,NO
src\content\derived\procurement\fai-guide.md,procurement,fai-guide,/procurement/fai-guide/,fai-guide,Procurement,Procurement,Procurement,Procurement,direct answer,LOW,WIRE (thin - deepen then render),30,NO
src\content\derived\procurement\how-to-submit-rfq.md,procurement,how-to-submit-rfq,/procurement/how-to-submit-rfq/,how-to-submit-rfq,Procurement,Procurement,Procurement,Procurement,direct answer,LOW,WIRE (thin - deepen then render),30,NO
src\content\derived\procurement\incoterms-guide.md,procurement,incoterms-guide,/procurement/incoterms-guide/,incoterms-guide,Procurement,Procurement,Procurement,Procurement,direct answer,LOW,WIRE (thin - deepen then render),30,NO
src\content\derived\procurement\inspection-report-guide.md,procurement,inspection-report-guide,/procurement/inspection-report-guide/,inspection-report-guide,Procurement,Procurement,Procurement,Procurement,direct answer,LOW,WIRE (thin - deepen then render),30,NO
src\content\derived\procurement\material-certification-guide.md,procurement,material-certification-guide,/procurement/material-certification-guide/,material-certification-guide,Procurement,Procurement,Procurement,Procurement,direct answer,LOW,WIRE (thin - deepen then render),30,NO
src\content\derived\procurement\mill-test-report-guide.md,procurement,mill-test-report-guide,/procurement/mill-test-report-guide/,mill-test-report-guide,Procurement,Procurement,Procurement,Procurement,direct answer,LOW,WIRE (thin - deepen then render),30,NO
src\content\derived\procurement\moq-for-titanium-parts.md,procurement,moq-for-titanium-parts,/procurement/moq-for-titanium-parts/,moq-for-titanium-parts,Procurement,Procurement,Procurement,Procurement,direct answer,LOW,WIRE (thin - deepen then render),30,NO
src\content\derived\procurement\payment-terms.md,procurement,payment-terms,/procurement/payment-terms/,payment-terms,Procurement,Procurement,Procurement,Procurement,direct answer,LOW,WIRE (thin - deepen then render),30,NO
src\content\derived\procurement\ppap-for-titanium-parts.md,procurement,ppap-for-titanium-parts,/procurement/ppap-for-titanium-parts/,ppap-for-titanium-parts,Procurement,Procurement,Procurement,Procurement,direct answer,LOW,WIRE (thin - deepen then render),30,NO
src\content\derived\procurement\production-lead-time.md,procurement,production-lead-time,/procurement/production-lead-time/,production-lead-time,Procurement,Procurement,Procurement,Procurement,direct answer,LOW,WIRE (thin - deepen then render),30,NO
src\content\derived\procurement\prototype-lead-time.md,procurement,prototype-lead-time,/procurement/prototype-lead-time/,prototype-lead-time,Procurement,Procurement,Procurement,Procurement,direct answer,LOW,WIRE (thin - deepen then render),30,NO
src\content\derived\procurement\rfq-checklist.md,procurement,rfq-checklist,/procurement/rfq-checklist/,rfq-checklist,Procurement,Procurement,Procurement,Procurement,direct answer,LOW,WIRE (thin - deepen then render),40,NO
src\content\derived\procurement\risk-management.md,procurement,risk-management,/procurement/risk-management/,risk-management,Procurement,Procurement,Procurement,Procurement,direct answer,LOW,WIRE (thin - deepen then render),30,NO
src\content\derived\procurement\supplier-qualification.md,procurement,supplier-qualification,/procurement/supplier-qualification/,supplier-qualification,Procurement,Procurement,Procurement,Procurement,direct answer,LOW,WIRE (thin - deepen then render),30,NO
src\content\derived\procurement\titanium-bar-stock-guide.md,procurement,titanium-bar-stock-guide,/procurement/titanium-bar-stock-guide/,titanium-bar-stock-guide,Procurement,Procurement,Procurement,Procurement,reference,LOW,WIRE (add route + render),20,NO
src\content\derived\procurement\titanium-cnc-lead-time.md,procurement,titanium-cnc-lead-time,/procurement/titanium-cnc-lead-time/,titanium-cnc-lead-time,Procurement,Procurement,Procurement,Procurement,direct answer,LOW,WIRE (thin - deepen then render),30,NO
src\content\derived\procurement\titanium-forging-guide.md,procurement,titanium-forging-guide,/procurement/titanium-forging-guide/,titanium-forging-guide,Procurement,Procurement,Procurement,Procurement,reference,LOW,WIRE (add route + render),20,NO
src\content\derived\procurement\titanium-plate-stock-guide.md,procurement,titanium-plate-stock-guide,/procurement/titanium-plate-stock-guide/,titanium-plate-stock-guide,Procurement,Procurement,Procurement,Procurement,reference,LOW,WIRE (add route + render),20,NO
src\content\derived\procurement\titanium-tube-specifications.md,procurement,titanium-tube-specifications,/procurement/titanium-tube-specifications/,titanium-tube-specifications,Procurement,Procurement,Procurement,Procurement,reference,LOW,WIRE (add route + render),20,NO
src\content\derived\guides\anodizing-guide.md,guides,anodizing-guide,/guides/anodizing-guide/,anodizing-guide,Guide,Guide,Engineer,Design/Process,reference,LOW,KEEP (rendered),20,YES
src\content\derived\guides\dfm-titanium-guide.md,guides,dfm-titanium-guide,/guides/dfm-titanium-guide/,dfm-titanium-guide,Guide,Guide,Engineer,Design/Process,reference,LOW,KEEP (rendered),20,YES
src\content\derived\guides\grade-2-guide.md,guides,grade-2-guide,/guides/grade-2-guide/,grade-2-guide,Guide,Guide,Engineer,Design/Process,reference,LOW,KEEP (rendered),20,YES
src\content\derived\guides\grade-23-guide.md,guides,grade-23-guide,/guides/grade-23-guide/,grade-23-guide,Guide,Guide,Engineer,Design/Process,reference,LOW,KEEP (rendered),20,YES
src\content\derived\guides\grade-5-guide.md,guides,grade-5-guide,/guides/grade-5-guide/,grade-5-guide,Guide,Guide,Engineer,Design/Process,reference,LOW,KEEP (rendered),20,YES
src\content\derived\guides\grade-selection-guide.md,guides,grade-selection-guide,/guides/grade-selection-guide/,grade-selection-guide,Guide,Guide,Engineer,Design/Process,reference,LOW,KEEP (rendered),20,YES
src\content\derived\guides\procurement-guide.md,guides,procurement-guide,/guides/procurement-guide/,procurement-guide,Guide,Guide,Engineer,Design/Process,reference,LOW,KEEP (rendered),20,YES
src\content\derived\guides\surface-finish-guide.md,guides,surface-finish-guide,/guides/surface-finish-guide/,surface-finish-guide,Guide,Guide,Engineer,Design/Process,reference,LOW,KEEP (rendered),20,YES
src\content\derived\guides\titanium-heat-treatment-guide.md,guides,titanium-heat-treatment-guide,/guides/titanium-heat-treatment-guide/,titanium-heat-treatment-guide,Guide,Guide,Engineer,Design/Process,reference,LOW,KEEP (rendered),20,YES
src\content\derived\guides\titanium-machining-cost-reduction.md,guides,titanium-machining-cost-reduction,/guides/titanium-machining-cost-reduction/,titanium-machining-cost-reduction,Guide,Guide,Engineer,Design/Process,reference,LOW,KEEP (rendered),20,YES
src\content\derived\guides\welding-titanium-guide.md,guides,welding-titanium-guide,/guides/welding-titanium-guide/,welding-titanium-guide,Guide,Guide,Engineer,Design/Process,reference,LOW,KEEP (rendered),20,YES
src\content\derived\cases\5-axis-structural-bracket.md,cases,5-axis-structural-bracket,/cases/5-axis-structural-bracket/,5-axis-structural-bracket,Evidence (CaseStudy),Evidence (CaseStudy),Engineer,Evidence,reference,LOW,WIRE (thin - deepen then render),25,NO
src\content\derived\cases\aerospace-bracket-case.md,cases,aerospace-bracket-case,/cases/aerospace-bracket-case/,aerospace-bracket-case,Evidence (CaseStudy),Evidence (CaseStudy),Engineer,Evidence,reference,LOW,WIRE (add route + render),20,NO
src\content\derived\cases\aerospace-thin-wall-housing.md,cases,aerospace-thin-wall-housing,/cases/aerospace-thin-wall-housing/,aerospace-thin-wall-housing,Evidence (CaseStudy),Evidence (CaseStudy),Engineer,Evidence,reference,LOW,WIRE (thin - deepen then render),25,NO
src\content\derived\cases\complex-5-axis-titanium-bracket.md,cases,complex-5-axis-titanium-bracket,/cases/complex-5-axis-titanium-bracket/,complex-5-axis-titanium-bracket,Evidence (CaseStudy),Evidence (CaseStudy),Engineer,Evidence,reference,LOW,WIRE (thin - deepen then render),25,NO
src\content\derived\cases\grade-23-orthopedic-component.md,cases,grade-23-orthopedic-component,/cases/grade-23-orthopedic-component/,grade-23-orthopedic-component,Evidence (CaseStudy),Evidence (CaseStudy),Engineer,Evidence,reference,LOW,WIRE (thin - deepen then render),25,NO
src\content\derived\cases\medical-fixture.md,cases,medical-fixture,/cases/medical-fixture/,medical-fixture,Evidence (CaseStudy),Evidence (CaseStudy),Engineer,Evidence,reference,LOW,WIRE (thin - deepen then render),25,NO
src\content\derived\cases\medical-implant-dmls-case.md,cases,medical-implant-dmls-case,/cases/medical-implant-dmls-case/,medical-implant-dmls-case,Evidence (CaseStudy),Evidence (CaseStudy),Engineer,Evidence,reference,LOW,WIRE (add route + render),20,NO
src\content\derived\cases\medical-implant-fixture.md,cases,medical-implant-fixture,/cases/medical-implant-fixture/,medical-implant-fixture,Evidence (CaseStudy),Evidence (CaseStudy),Engineer,Evidence,reference,LOW,WIRE (thin - deepen then render),25,NO
src\content\derived\cases\medical-instrument-case.md,cases,medical-instrument-case,/cases/medical-instrument-case/,medical-instrument-case,Evidence (CaseStudy),Evidence (CaseStudy),Engineer,Evidence,reference,LOW,WIRE (add route + render),20,NO
src\content\derived\cases\oil-gas-downhole-case.md,cases,oil-gas-downhole-case,/cases/oil-gas-downhole-case/,oil-gas-downhole-case,Evidence (CaseStudy),Evidence (CaseStudy),Engineer,Evidence,reference,LOW,WIRE (add route + render),20,NO
src\content\derived\cases\orthopedic-component.md,cases,orthopedic-component,/cases/orthopedic-component/,orthopedic-component,Evidence (CaseStudy),Evidence (CaseStudy),Engineer,Evidence,reference,LOW,WIRE (thin - deepen then render),25,NO
src\content\derived\cases\semiconductor-chamber-case.md,cases,semiconductor-chamber-case,/cases/semiconductor-chamber-case/,semiconductor-chamber-case,Evidence (CaseStudy),Evidence (CaseStudy),Engineer,Evidence,reference,LOW,WIRE (add route + render),20,NO
src\content\derived\cases\semiconductor-vacuum-component.md,cases,semiconductor-vacuum-component,/cases/semiconductor-vacuum-component/,semiconductor-vacuum-component,Evidence (CaseStudy),Evidence (CaseStudy),Engineer,Evidence,reference,LOW,WIRE (thin - deepen then render),25,NO
src\content\derived\cases\thin-wall-aerospace-housing.md,cases,thin-wall-aerospace-housing,/cases/thin-wall-aerospace-housing/,thin-wall-aerospace-housing,Evidence (CaseStudy),Evidence (CaseStudy),Engineer,Evidence,reference,LOW,WIRE (thin - deepen then render),25,NO
src\content\derived\cases\titanium-exhaust-system.md,cases,titanium-exhaust-system,/cases/titanium-exhaust-system/,titanium-exhaust-system,Evidence (CaseStudy),Evidence (CaseStudy),Engineer,Evidence,reference,LOW,WIRE (add route + render),20,NO
src\content\applications\aerospace-structural.md,applications,aerospace-structural,/applications/aerospace-structural/,aerospace-structural,Entity Detail (Application),Entity Detail (Application),Engineer,Requirement,reference,LOW,WIRE (add route + render),30,NO
src\content\applications\industrial-components.md,applications,industrial-components,/applications/industrial-components/,industrial-components,Entity Detail (Application),Entity Detail (Application),Engineer,Requirement,reference,LOW,WIRE (add route + render),30,NO
src\content\applications\medical-implants.md,applications,medical-implants,/applications/medical-implants/,medical-implants,Entity Detail (Application),Entity Detail (Application),Engineer,Requirement,reference,LOW,WIRE (add route + render),30,NO
src\content\applications\semiconductor-vacuum.md,applications,semiconductor-vacuum,/applications/semiconductor-vacuum/,semiconductor-vacuum,Entity Detail (Application),Entity Detail (Application),Engineer,Requirement,reference,LOW,WIRE (add route + render),30,NO
src\content\site\blog\getting-started.md,blog,getting-started,/blog/getting-started/,getting-started,Guide/Other,Guide/Other,Engineer,Learn,reference,LOW,KEEP (rendered),25,YES
src\content\site\blog\seo-multilingual.md,blog,seo-multilingual,/blog/seo-multilingual/,seo-multilingual,Guide/Other,Guide/Other,Engineer,Learn,reference,LOW,KEEP (rendered),20,YES
src\content\site\blog\welcome.md,blog,welcome,/blog/welcome/,welcome,Guide/Other,Guide/Other,Engineer,Learn,reference,LOW,DEEPEN or MERGE,20,YES
src\content\site\faqs\content.json,faqs,content,/faq/content/,content,Reference,Reference,Engineer,Learn,reference,LOW,DEEPEN or MERGE,20,YES
src\content\site\faqs\customization.json,faqs,customization,/faq/customization/,customization,Reference,Reference,Engineer,Learn,reference,LOW,DEEPEN or MERGE,20,YES
